Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0
0.079,0.00172919,0.079,0.00142682,0.079,0.0195027,0.079,0.0341165,0.079,0.00949688,0.079,0.00913483,0.079,0.00936523,0.079,0.00910192,0.079,0.00946397,0.079,0.023979,0.079,0.0241765
0.08,0.00169628,0.08,0.00142682,0.08,0.0188774,0.08,0.0344456,0.08,0.00900318,0.08,0.00903609,0.08,0.00850947,0.08,0.00916774,0.08,0.00926649,0.08,0.023979,0.08,0.0241765
0.081,0.00172919,0.081,0.00142682,0.081,0.0200293,0.081,0.0342482,0.081,0.0092994,0.081,0.00900318,0.081,0.00850947,0.081,0.00903609,0.081,0.00959563,0.081,0.023979,0.081,0.0234524
0.082,0.00172919,0.082,0.00145318,0.082,0.0198319,0.082,0.0336886,0.082,0.00939814,0.082,0.00890443,0.082,0.00854238,0.082,0.009069,0.082,0.00857529,0.082,0.0239461,0.082,0.0244727
0.083,0.00172919,0.083,0.00144,0.083,0.0198648,0.083,0.0333266,0.083,0.00926649,0.083,0.00893735,0.083,0.00939814,0.083,0.009069,0.083,0.00870695,0.083,0.0239461,0.083,0.0242752
0.084,0.00166337,0.084,0.00142682,0.084,0.0191736,0.084,0.0341494,0.084,0.00943106,0.084,0.00900318,0.084,0.00939814,0.084,0.00913483,0.084,0.00969437,0.084,0.0240119,0.084,0.0245385
0.085,0.00172919,0.085,0.00142682,0.085,0.0185153,0.085,0.0339519,0.085,0.00910192,0.085,0.00926649,0.085,0.00982602,0.085,0.00920066,0.085,0.00923357,0.085,0.0239461,0.085,0.0231562
0.086,0.00176211,0.086,0.00144,0.086,0.0195027,0.086,0.0340836,0.086,0.00966145,0.086,0.00910192,0.086,0.0083449,0.086,0.00916774,0.086,0.00956271,0.086,0.0239461,0.086,0.023979
0.087,0.00172919,0.087,0.00144659,0.087,0.0193381,0.087,0.0345444,0.087,0.0092994,0.087,0.00910192,0.087,0.00903609,0.087,0.00916774,0.087,0.0092994,0.087,0.023979,0.087,0.0239132
0.088,0.00172919,0.088,0.00143341,0.088,0.0200623,0.088,0.0334253,0.088,0.00920066,0.088,0.00916774,0.088,0.00916774,0.088,0.00910192,0.088,0.00831198,0.088,0.0239461,0.088,0.0245715
